epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.9922,2.2282,3.96764,1.67464,0.00313,0.93846,0.1728,0.03556,2.26546,5.11142,1.42238,0.00034,0.00034,0.00034
2,201.91,1.95109,2.60447,1.45774,0.00313,0.93846,0.03675,0.00961,1.97727,4.66351,1.35805,0.000691338,0.000691338,0.000691338
3,326.147,1.88634,2.33733,1.48546,0.00221,0.66154,0.00257,0.00098,2.07303,5.11325,1.62059,0.00103377,0.00103377,0.00103377
4,459.224,1.78195,2.1325,1.47515,0.00313,0.93846,0.00423,0.00184,2.09075,4.68858,1.53417,0.00136728,0.00136728,0.00136728
5,578.312,1.83074,2.03305,1.52378,0.07905,0.07692,0.03747,0.00891,2.1831,4.06071,1.57431,0.00169189,0.00169189,0.00169189
6,705.521,1.76566,1.77904,1.4387,0.4441,0.2,0.19162,0.06007,2.22354,4.08108,1.74701,0.00187625,0.00187625,0.00187625
7,821.728,1.79622,1.68847,1.47819,0.4661,0.27692,0.27238,0.09565,2.46823,4.46842,1.80245,0.0018515,0.0018515,0.0018515
8,942.953,1.74826,1.59838,1.4076,0.75381,0.52308,0.59913,0.17212,2.30231,2.76269,1.80716,0.00182675,0.00182675,0.00182675
9,1074.49,1.73168,1.51353,1.41536,0.86129,0.61538,0.80407,0.27617,2.05119,2.16222,1.60985,0.001802,0.001802,0.001802
10,1206.36,1.83492,1.43436,1.4501,0.60033,0.64704,0.61324,0.1874,2.29671,1.98062,1.76221,0.00177725,0.00177725,0.00177725
11,1335.06,1.80841,1.3733,1.46291,0.22281,0.44615,0.16353,0.04309,2.61641,3.12114,1.90066,0.0017525,0.0017525,0.0017525
12,1466.45,1.71936,1.28237,1.41812,0.14623,0.33846,0.08897,0.02113,2.59527,4.0487,1.91726,0.00172775,0.00172775,0.00172775
13,1606.48,1.73826,1.22758,1.423,0.38306,0.27692,0.21135,0.05775,2.42064,2.59812,1.91437,0.001703,0.001703,0.001703
14,1796.34,1.7366,1.24429,1.41646,0.3179,0.61538,0.3364,0.1119,2.3602,2.19449,1.87636,0.00167825,0.00167825,0.00167825
15,1956.69,1.71619,1.1932,1.44342,0.32405,0.69231,0.31308,0.09958,2.28442,2.55669,1.84275,0.0016535,0.0016535,0.0016535
16,2095.83,1.647,1.09772,1.39038,0.5411,0.5261,0.53044,0.20366,2.1667,1.91392,1.64117,0.00162875,0.00162875,0.00162875
17,2214.65,1.63562,1.047,1.36847,0.54885,0.69231,0.53284,0.16314,2.45109,1.76206,1.8616,0.001604,0.001604,0.001604
18,2321.77,1.71715,1.09423,1.38635,0.66096,0.63077,0.60692,0.22267,2.43693,1.52564,1.78171,0.00157925,0.00157925,0.00157925
19,2431.24,1.65679,1.07267,1.39712,0.5835,0.56923,0.5822,0.22782,2.40735,1.71038,1.75853,0.0015545,0.0015545,0.0015545
20,2525.55,1.6942,1.03148,1.37839,0.76926,0.49231,0.63972,0.24897,2.41745,1.94638,1.70928,0.00152975,0.00152975,0.00152975
21,2619.33,1.68491,1.01074,1.37958,0.18683,0.2,0.21296,0.07695,2.34146,2.9704,1.717,0.001505,0.001505,0.001505
22,2713.53,1.64162,0.99108,1.38122,0.29576,0.20684,0.23536,0.08394,2.50772,2.90599,1.79255,0.00148025,0.00148025,0.00148025
23,2808.06,1.63674,0.97683,1.37343,0.75517,0.522,0.68253,0.26123,2.2261,1.80759,1.54715,0.0014555,0.0014555,0.0014555
24,2903.06,1.58972,0.96353,1.32646,0.70641,0.62933,0.65474,0.23066,2.22036,2.05206,1.53673,0.00143075,0.00143075,0.00143075
